observed_at	timezone	record_type	task_group	item	status	source_commit	source_subject	integration_commit	value	pid	cwd	port	health	evidence	notes
2026-07-18T13:51:33+08:00	Asia/Shanghai	hardening	Task_A	subsequent_hardening	integrated_present	-	-	-	78d5b875a9822022e12a311156b142a21c461c6e,1e6ffe3b56ef565469e5323da3083c43f92bde11,44ab47eeef3a89bfefa0071d13fb640cd71b9182,645ecd93601b73f2a7844f26a78c8efe5cd525e0,c702897930a84e87667882c5273decdf790dd93b,2ffa9d312192c647448cd4b0c4c78f43b1230152,0998c53d2c3716d98189a94fa2bdd7050cd2aeed,7e1850f7a0579d81d8cdbbab8c6af8df5e66d2a4,8c37ee58e1969b9c9314039dd1bfefa66e83b75e,18792674a7a79bfbfc106a72e5ba3109b376a8e1,f5d63d84080ac731dcfa75d22b2f1190eb4e8de6,2205dbbc5eb6f6932c987520fe7001f01990e474,430152e04d829fe585599e7cc0f1c63992ab1c73,1e0be4cd7fbe2a30b9eb3fb668a0ed1841be748d,d1f7e837f7b01c1790957f1681a45f827df32aeb,f3b033f02ae44a5c89abaf37cfcee7db12d7ec7f,b31fc818446ec7c2eabf6c884c3898932a348cf7,8dba2ca48d4f542d0532f0b1706875eb233af95e,5bd1f498a2d3fd1d4de8aa7fb06114ef12c3f518,08a24aab48f9994c90ac4ff04f9e27759ad56225,c49ee0f45891cc27e92af22f34ed59487ccf52a6,0c6c85316f19c5e12ab40fccaa812148fb474da5,2e5a2304980d539e6daaeee6f6025d56c851a162,e068160a81e8cb0e74efe30504f7f7ea1fd176fb,69db68e9992bcdb8bc5c2d91957d70557a1aea4c	-	-	-	-	git log --reverse c4a4797c..69db68e9992bcdb8bc5c2d91957d70557a1aea4c	25 个后续提交均已存在；不消除当前开放 P1
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_B	provider_credentials	pending	d1b65c5130ab3e0d18418b10c7283812d59c215a	feat(images): generalize provider credentials and safety	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_B	immediate_routing	pending	c581bd3f8f9ca52d33b5cccc5ab38def79774558	fix(images): make capability routing immediately consistent	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_C	image_intent_artifacts	pending	f8fb1d56ef188364008c849443eea2b48314561c	feat(images): route generation intent and stream artifacts	pending	-	-	-	-	-	git show -s	仅计划选择性移植；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_D	universal_configuration	pending	512c8231690950ab459366f5666be2823a43c4bd	feat(images): expose universal configuration and artifacts	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_D	unified_capability_center	pending	d2e74b85d5ff9bf8978b1e4dcb47fd306b94f246	feat(images): unify capability configuration and routing	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	expert_progress	pending	3ebef02866f9e07e6362492f1379ea53800a4ca3	fix: report expert progress from completed stages	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	scheduled_task_ui	pending	4a53f5c17f41849bd23b8c64bdb3cfbd9aa479fd	fix: distinguish scheduled tasks in product UI	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	scheduled_task_empty_copy	pending	babe002e5ef84b1e533782de1ac1092cb79fbeb9	fix: make scheduled task empty copy responsive	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	scheduled_task_terms	pending	7b3607a9f153bf151270dedb913669b9ce165ce9	fix: unify scheduled task terminology	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	onboarding_locale	pending	e9788e34fee914f65f4994d5aea66fdb5c1c89f2	fix: localize desktop onboarding guidance	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	keyboard_focus	pending	4947202def4ffc4e1caf2578a8df0e12b0807e87	fix: make critical desktop dialogs keyboard accessible	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	safe_diagnostics	pending	0524a4485ac8a8b4a2d0f985ac1fd1810c2e9693	feat: add safe desktop product diagnostics	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_E	diagnostics_smoke	pending	8f03121c996e7be11813aff191af5008fe29294c	test: harden desktop app diagnostics smoke	pending	-	-	-	-	-	git show -s	计划按行为裁决；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_F	docx_runtime_store	pending	259306b3d3958a25487814a9b57643357cad4450	feat: isolate docx runtime template state	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_F	lock_race_retry	pending	4ecaafc57aa78a4a2db92b1e33799bb48441ce65	fix: retry vanished registry lock races	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_F	generation_lock	pending	1d56849a6f3e0ac7807071bec4657268e3896cac	fix: publish registry locks by generation	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_F	bounded_delivery	pending	15c058b44ab8616046054822f2aa47ad6f71ca1f	fix: bound registry lock retries and document delivery	pending	-	-	-	-	-	git show -s	计划来源；未误写 merged
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	linux_offline_payload	pending	99103770bea196763baa8807392b9fa2ca2e06a3	feat: harden linux offline payload	pending	-	-	-	-	-	git show -s	计划顺序 1/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	checksum_sidecar	pending	1d2f7e28d12ac13a1708e23d9f851b32b5b4f1c0	fix: verify linux package checksum sidecar	pending	-	-	-	-	-	git show -s	计划顺序 2/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	privileged_install	pending	77bcb5260b2a7ab19280053da51105706b6bb9b6	fix: harden privileged offline installation	pending	-	-	-	-	-	git show -s	计划顺序 3/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	desktop_session_fail_fast	pending	4affbbff22db19a6cb3f804b9d75b0d36707bc45	fix: fail fast without desktop session	pending	-	-	-	-	-	git show -s	计划顺序 4/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	install_race_windows	pending	394f0de735d9e236451603093dd44b74419e2d84	fix: close privileged install race windows	pending	-	-	-	-	-	git show -s	计划顺序 5/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	rehearsal_gate	pending	d749cf16894eba0fe4b8f928d0ba1b31f7a00eb1	feat: gate release on offline install rehearsal	pending	-	-	-	-	-	git show -s	计划顺序 6/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	rehearsal_producer	pending	5991c61e1d36d8682b6bf23794480b838b764ab8	feat: add offline rehearsal producer	pending	-	-	-	-	-	git show -s	计划顺序 7/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	desktop_release_evidence	pending	ea5c5599dd00a4ea0b0442fa0b6e3f80fa659a47	hardening: close desktop release evidence gaps	pending	-	-	-	-	-	git show -s	计划顺序 8/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	noninteractive_installs	pending	1ccdf4fd7a03db21356ad9b3f08c55fd6fcb2a20	fix: keep Linux package installs noninteractive	pending	-	-	-	-	-	git show -s	计划顺序 9/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	electron_audit_deps	pending	7473da3c89bfca0569f0d868531de8c299230581	fix: install Electron audit dependencies on builder	pending	-	-	-	-	-	git show -s	计划顺序 10/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	read_only_manifest_cleanup	pending	1283467fb9de8b176ebaa9f6b94c20ec82103edc	fix: clean read-only manifest payloads safely	pending	-	-	-	-	-	git show -s	计划顺序 11/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	trusted_retry_cleanup	pending	82e87d576dfe89f4c77cd434044b2a58d5f37c4b	fix: make trusted build retries self-cleaning	pending	-	-	-	-	-	git show -s	计划顺序 12/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	offline_dependency_closure	pending	f94e13cbb6821c1d64508d0e0029a51f6a853c93	fix: require complete offline dependency closure	pending	-	-	-	-	-	git show -s	计划顺序 13/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	apt_dependency_resolution	pending	440372d0c11c4ce236b7f2dd74ac24b9085a0aea	fix: resolve offline dependencies with apt	pending	-	-	-	-	-	git show -s	计划顺序 14/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	readonly_verification_cleanup	pending	29c2cfd4b8199571cedea963f07512e222c7a8a3	fix: clean readonly payload verification trees	pending	-	-	-	-	-	git show -s	计划顺序 15/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	rehearsal_build_baseline	pending	e128ebb525dd92d9997d3075dd0c8fa774701297	fix: align offline rehearsal with build baseline	pending	-	-	-	-	-	git show -s	计划顺序 16/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	gzip_archive_comparison	pending	7acea3efe853958a128448acec95f7ccd1fd9988	fix: compare source archives across gzip encoders	pending	-	-	-	-	-	git show -s	计划顺序 17/18
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_G	packaging_rehearsal_paths	pending	3a76fec3a46d566787b1a3a12b1cfce2456e26ce	fix: harden Linux packaging rehearsal paths	pending	-	-	-	-	-	git show -s	计划顺序 18/18
2026-07-18T14:47:34+08:00	Asia/Shanghai	hardening	Task_A	cli_ambiguous_resume	integrated_verified_current	-	-	a8dd2d8bd6e0c712a01443593956a380c36df401	466 targeted tests	-	-	-	-	qa-evidence/main-consolidation-20260717/managed-runs/task-a-agent-junit.xml; qa-evidence/main-consolidation-20260717/license/task-a-agent-license-junit.xml; qa-evidence/main-consolidation-20260717/license/task-a-webui-license-junit.xml; qa-evidence/main-consolidation-20260717/managed-runs/task-a-webui-junit.xml; 双审=本轮实现审与质量复审	CLI ambiguous resume P1 已关闭；四份 current JUnit 合计 466 passed、0 failures、0 errors、0 skipped
